issue,importance,note
COLLECTION_MATCH_FUZZY,low,
COLLECTION_MATCH_NONE,medium,
CONTINENT_COORDINATE_MISMATCH,low,
CONTINENT_DERIVED_FROM_COORDINATES,low,
CONTINENT_INVALID,low,
COORDINATE_INVALID,high,
COORDINATE_PRECISION_INVALID,high,
COORDINATE_REPROJECTED,low,
COORDINATE_ROUNDED,low,
COUNTRY_COORDINATE_MISMATCH,low,
COUNTRY_DERIVED_FROM_COORDINATES,low,
COUNTRY_INVALID,medium,
DIFFERENT_OWNER_INSTITUTION,low,
FOOTPRINT_SRS_INVALID,low,unclear
FOOTPRINT_WKT_INVALID,low,unclear
GEODETIC_DATUM_ASSUMED_WGS84,low,
GEODETIC_DATUM_INVALID,low,
IDENTIFIED_DATE_INVALID,medium,
INDIVIDUAL_COUNT_INVALID,low,
INSTITUTION_COLLECTION_MISMATCH,low,
INSTITUTION_MATCH_FUZZY,low,
INSTITUTION_MATCH_NONE,low,
MODIFIED_DATE_INVALID,medium,
MULTIMEDIA_DATE_INVALID,medium,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,low,
PRESUMED_NEGATED_LONGITUDE,high,
RECORDED_DATE_INVALID,medium,
RECORDED_DATE_MISMATCH,low,
RECORDED_DATE_UNLIKELY,high,
REFERENCES_URI_INVALID,low,
TAXON_MATCH_FUZZY,medium,
TAXON_MATCH_HIGHERRANK,high,
TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED,medium,
TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED,medium,
TAXON_MATCH_TAXON_ID_IGNORED,medium,
TYPE_STATUS_INVALID,low,
