issue,issueType,Note
COORDINATE_INVALID;COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID,professional,
GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;MODIFIED_DATE_INVALID;IDENTIFIED_DATE_INVALID,professional,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,professional,
COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,professional,
GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION,professional,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,non-professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,professional,
TAXON_MATCH_HIGHERRANK;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,professional,
COUNTRY_DERIVED_FROM_COORDINATES;INDIVIDUAL_COUNT_INVALID,professional,
GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;PRESUMED_NEGATED_LONGITUDE;REFERENCES_URI_INVALID,professional,
OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY,professional,
TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED,professional,
CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_NONE,professional,
TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,professional,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,professional,
COLLECTION_MATCH_NONE,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;COUNTRY_COORDINATE_MISMATCH,professional,
GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID,professional,
COORDINATE_INVALID;MODIFIED_DATE_INVALID;IDENTIFIED_DATE_INVALID;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED,professional,
COORDINATE_ROUNDED;COUNTRY_COORDINATE_MISMATCH;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,professional,
GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID;IDENTIFIED_DATE_INVALID,professional,
COORDINATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;FOOTPRINT_SRS_INVALID;CONTINENT_DERIVED_FROM_COORDINATES,professional,
COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH,professional,
TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_MISMATCH;MODIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,professional,
COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
CONTINENT_COORDINATE_MISMATCH;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,professional,
COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;PRESUMED_NEGATED_LONGITUDE,professional,
CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_MISMATCH,professional,
