lulc,impedance,type,impedance_rounded,edge_effect,vector_refine
1,300,Continental waters,300,0,0
2,1000,Marine waters,1000,0,0
3,100,Snowdrifts,100,0,0
4,1000,Road infrastructures,1000,1,0
5,250,Urbanizations,250,1,1
6,500,Urban areas,500,1,1
7,350,Industrial and commercial areas,350,0,1
8,18,Rainfed herbaceous crops,18,0,0
9,18,Irrigated herbaceous crops,18,0,0
10,10,Dry fruit orchards,10,0,0
11,10,Irrigated fruit trees,10,0,0
12,20,Vineyards,20,0,0
13,8,Supraforest meadows,8,0,0
14,8,Bushes,8,0,0
15,15,Midland meadows,15,0,0
16,15,Lowland meadows,15,0,0
17,1.7,Sclerophyll forests,2,0,0
18,1.3,Deciduous forests,1,0,0
19,1,Coniferous forests,1,0,0
20,8,Wetland vegetation,8,0,0
21,45,Areas with little or no vegetation,45,0,0
22,60,Burnt areas,60,0,0
23,45,Sand dunes and beaches,45,0,0
24,20,Rice fields,20,0,0
25,10,Citrus fruits,10,0,0
101,150,Protected-Continental waters,150,0,0
102,500,Protected-Marine waters,500,0,0
103,50,Protected-Snowdrifts,50,0,0
104,500,Protected-Road infrastructures,500,1,0
105,125,Protected-Urbanizations,125,1,1
106,250,Protected-Urban areas,250,1,1
107,175,Protected-Industrial and commercial areas,175,0,1
108,9,Protected-Rainfed herbaceous crops,9,0,0
109,9,Protected-Irrigated herbaceous crops,9,0,0
110,5,Protected-Dry fruit orchards,5,0,0
111,5,Protected-Irrigated fruit trees,5,0,0
112,10,Protected-Vineyards,10,0,0
113,4,Protected-Supraforest meadows,4,0,0
114,4,Protected-Bushes,4,0,0
115,7.5,Protected-Midland meadows,8,0,0
116,7.5,Protected-Lowland meadows,8,0,0
117,0.85,Protected-Sclerophyll forests,1,0,0
118,0.65,Protected-Deciduous forests,1,0,0
119,0.5,Protected-Coniferous forests,1,0,0
120,4,Protected-Wetland vegetation,4,0,0
121,22.5,Protected-Areas with little or no vegetation,23,0,0
122,30,Protected-Burnt areas,30,0,0
123,22.5,Protected-Sand dunes and beaches,23,0,0
124,10,Protected-Rice fields,10,0,0
125,5,Protected-Citrus fruits,5,0,0
