value,edge_effect,vector_refine,definition
1,0,0,Continental waters
2,0,0,Marine waters
3,0,0,Snowdrifts
4,1,0,Road infrastructures
5,1,1,Urbanizations
6,1,1,Urban areas
7,0,1,Industrial and commercial areas
8,0,0,Rainfed herbaceous crops
9,0,0,Irrigated herbaceous crops
10,0,0,Dry fruit orchards
11,0,0,Irrigated fruit trees
12,0,0,Vineyards
13,0,0,Supraforest meadows
14,0,0,Bushes
15,0,0,Midland meadows
16,0,0,Lowland meadows
17,0,0,Sclerophyll forests
18,0,0,Deciduous forests
19,0,0,Coniferous forests
20,0,0,Wetland vegetation
21,0,0,Areas with little or no vegetation
22,0,0,Burnt areas
23,0,0,Sand dunes and beaches
24,0,0,Rice fields
25,0,0,Citrus fruits
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
