lulc,impedance,type,impedance_rounded,edge_effect,vector_refine
1,5.7,Aquatic environments,6,0,1
2,1000,"Urban, industrial and road areas (infrastructures, roads, trains, etc)",1000,1,1
3,1,Herbaceous crops,1,0,0
4,3,Woody crops,3,0,0
5,2.5,Meadows and shrublands,2,0,0
6,5.7,Forests,6,0,0
7,5.7,Denuded areas,6,0,0
101,2.85,Protected-Aquatic environments,3,0,1
102,500,"Protected-Urban, industrial and road areas (infrastructures, roads, trains, etc)",500,1,1
103,0.5,Protected-Herbaceous crops,1,0,0
104,1.5,Protected-Woody crops,2,0,0
105,1.25,Protected-Meadows and shrublands,1,0,0
106,2.85,Protected-Forests,3,0,0
107,2.85,Protected-Denuded areas,3,0,0
