lulc,impedance,type,impedance_rounded,edge_effect,vector_refine
1,4,Aquatic environments,4,0,1
2,1000,"Urban, industrial and road areas (infrastructures, roads, trains, etc)",1000,1,1
3,2.5,Herbaceous crops,2,0,0
4,3.2,Woody crops,3,0,0
5,1,Meadows and shrublands,1,0,0
6,2.7,Forests,3,0,0
7,2,Denuded areas,2,0,0
101,2,Protected-Aquatic environments,2,0,1
102,500,"Protected-Urban, industrial and road areas (infrastructures, roads, trains, etc)",500,1,1
103,1.25,Protected-Herbaceous crops,1,0,0
104,1.6,Protected-Woody crops,2,0,0
105,0.5,Protected-Meadows and shrublands,1,0,0
106,1.35,Protected-Forests,1,0,0
107,1,Protected-Denuded areas,1,0,0
