Graph	d	p	beta	EC
thresh_600.0_cost_2355	400.0	0.05	1.0	4.014015251246424E7
thresh_600.0_cost_2355	500.0	0.05	1.0	4.069184934808193E7
thresh_600.0_cost_2355	600.0	0.05	1.0	4.117591174482555E7
thresh_600.0_cost_2355	700.0	0.05	1.0	4.1605167489274986E7
thresh_600.0_cost_2355	800.0	0.05	1.0	4.198862387698173E7
thresh_600.0_cost_2355	900.0	0.05	1.0	4.233318917990864E7
thresh_600.0_cost_2355	1000.0	0.05	1.0	4.2644391561754495E7
thresh_600.0_cost_2355	1100.0	0.05	1.0	4.292675387784502E7
thresh_600.0_cost_2355	1200.0	0.05	1.0	4.318402612932137E7
thresh_600.0_cost_2355	1300.0	0.05	1.0	4.341934671108289E7
thresh_600.0_cost_2355	1400.0	0.05	1.0	4.3635361728281535E7
thresh_600.0_cost_2355	1500.0	0.05	1.0	4.3834316547696285E7
thresh_600.0_cost_2355	1600.0	0.05	1.0	4.401812755206749E7
thresh_600.0_cost_2355	1700.0	0.05	1.0	4.418843914566352E7
thresh_600.0_cost_2355	1800.0	0.05	1.0	4.434666948208059E7
thresh_600.0_cost_2355	1900.0	0.05	1.0	4.449404742674611E7
thresh_600.0_cost_2355	2000.0	0.05	1.0	4.463164263069572E7
thresh_600.0_cost_2355	2100.0	0.05	1.0	4.4760390144861944E7
thresh_600.0_cost_2355	2200.0	0.05	1.0	4.488111067755974E7
thresh_600.0_cost_2355	2300.0	0.05	1.0	4.4994527353874974E7
thresh_600.0_cost_2355	2400.0	0.05	1.0	4.5101279650604226E7
thresh_600.0_cost_2355	2500.0	0.05	1.0	4.5201935038549475E7
thresh_600.0_cost_2355	2600.0	0.05	1.0	4.529699875438031E7
thresh_600.0_cost_2355	2700.0	0.05	1.0	4.53869220390556E7
thresh_600.0_cost_2355	2800.0	0.05	1.0	4.547210911313731E7
thresh_600.0_cost_2355	2900.0	0.05	1.0	4.555292310692108E7
thresh_600.0_cost_2355	3000.0	0.05	1.0	4.562969112189002E7
thresh_600.0_cost_2355	3100.0	0.05	1.0	4.570270856711213E7
thresh_600.0_cost_2355	3200.0	0.05	1.0	4.577224288796398E7
thresh_600.0_cost_2355	3300.0	0.05	1.0	4.583853678353718E7
thresh_600.0_cost_2355	3400.0	0.05	1.0	4.590181099215625E7
thresh_600.0_cost_2355	3500.0	0.05	1.0	4.596226671075046E7
thresh_600.0_cost_2355	3600.0	0.05	1.0	4.602008770270961E7
thresh_600.0_cost_2355	3700.0	0.05	1.0	4.607544213979347E7
thresh_600.0_cost_2355	3800.0	0.05	1.0	4.6128484216247834E7
thresh_600.0_cost_2355	3900.0	0.05	1.0	4.61793555671844E7
thresh_600.0_cost_2355	4000.0	0.05	1.0	4.622818651825447E7
