Graph	d	p	beta	EC
thresh_600.0_cost_2355	400.0	0.05	1.0	4.8553173695907444E7
thresh_600.0_cost_2355	500.0	0.05	1.0	5.000902079961967E7
thresh_600.0_cost_2355	600.0	0.05	1.0	5.141599446860924E7
thresh_600.0_cost_2355	700.0	0.05	1.0	5.277702105218508E7
thresh_600.0_cost_2355	800.0	0.05	1.0	5.409315274128038E7
thresh_600.0_cost_2355	900.0	0.05	1.0	5.536545616779702E7
thresh_600.0_cost_2355	1000.0	0.05	1.0	5.659530022545491E7
thresh_600.0_cost_2355	1100.0	0.05	1.0	5.7784288590027384E7
thresh_600.0_cost_2355	1200.0	0.05	1.0	5.8934150167105146E7
thresh_600.0_cost_2355	1300.0	0.05	1.0	6.004665315674537E7
thresh_600.0_cost_2355	1400.0	0.05	1.0	6.112354762631022E7
thresh_600.0_cost_2355	1500.0	0.05	1.0	6.216652983480048E7
thresh_600.0_cost_2355	1600.0	0.05	1.0	6.317722148229594E7
thresh_600.0_cost_2355	1700.0	0.05	1.0	6.4157158888790056E7
thresh_600.0_cost_2355	1800.0	0.05	1.0	6.510778870495371E7
thresh_600.0_cost_2355	1900.0	0.05	1.0	6.6030467866094664E7
thresh_600.0_cost_2355	2000.0	0.05	1.0	6.692646623394944E7
thresh_600.0_cost_2355	2100.0	0.05	1.0	6.779697085984227E7
thresh_600.0_cost_2355	2200.0	0.05	1.0	6.864309113673556E7
thresh_600.0_cost_2355	2300.0	0.05	1.0	6.946586434119998E7
thresh_600.0_cost_2355	2400.0	0.05	1.0	7.026626123198988E7
thresh_600.0_cost_2355	2500.0	0.05	1.0	7.104519148997778E7
thresh_600.0_cost_2355	2600.0	0.05	1.0	7.180350886798778E7
thresh_600.0_cost_2355	2700.0	0.05	1.0	7.254201597782622E7
thresh_600.0_cost_2355	2800.0	0.05	1.0	7.326146868221784E7
thresh_600.0_cost_2355	2900.0	0.05	1.0	7.396258008640319E7
thresh_600.0_cost_2355	3000.0	0.05	1.0	7.464602414153321E7
thresh_600.0_cost_2355	3100.0	0.05	1.0	7.531243888251123E7
thresh_600.0_cost_2355	3200.0	0.05	1.0	7.596242932864247E7
thresh_600.0_cost_2355	3300.0	0.05	1.0	7.659657007788004E7
thresh_600.0_cost_2355	3400.0	0.05	1.0	7.721540762572041E7
thresh_600.0_cost_2355	3500.0	0.05	1.0	7.781946243868825E7
thresh_600.0_cost_2355	3600.0	0.05	1.0	7.840923081042503E7
thresh_600.0_cost_2355	3700.0	0.05	1.0	7.898518652604179E7
thresh_600.0_cost_2355	3800.0	0.05	1.0	7.954778235787848E7
thresh_600.0_cost_2355	3900.0	0.05	1.0	8.00974514132984E7
thresh_600.0_cost_2355	4000.0	0.05	1.0	8.063460835273716E7
