Graph	d	p	beta	PC
thresh_600.0_cost_2355	400.0	0.05	1.0	3.7785365650698115E-6
thresh_600.0_cost_2355	500.0	0.05	1.0	3.883116753562439E-6
thresh_600.0_cost_2355	600.0	0.05	1.0	3.976051871215926E-6
thresh_600.0_cost_2355	700.0	0.05	1.0	4.059384060678401E-6
thresh_600.0_cost_2355	800.0	0.05	1.0	4.134555971944811E-6
thresh_600.0_cost_2355	900.0	0.05	1.0	4.202692040537465E-6
thresh_600.0_cost_2355	1000.0	0.05	1.0	4.2647093424093204E-6
thresh_600.0_cost_2355	1100.0	0.05	1.0	4.321372356680505E-6
thresh_600.0_cost_2355	1200.0	0.05	1.0	4.373326006538333E-6
thresh_600.0_cost_2355	1300.0	0.05	1.0	4.4211185685619415E-6
thresh_600.0_cost_2355	1400.0	0.05	1.0	4.465218894786867E-6
thresh_600.0_cost_2355	1500.0	0.05	1.0	4.5060299276011795E-6
thresh_600.0_cost_2355	1600.0	0.05	1.0	4.543899547767385E-6
thresh_600.0_cost_2355	1700.0	0.05	1.0	4.5791293920477555E-6
thresh_600.0_cost_2355	1800.0	0.05	1.0	4.611982076979813E-6
thresh_600.0_cost_2355	1900.0	0.05	1.0	4.64268715058353E-6
thresh_600.0_cost_2355	2000.0	0.05	1.0	4.67144601904728E-6
thresh_600.0_cost_2355	2100.0	0.05	1.0	4.698436042287552E-6
thresh_600.0_cost_2355	2200.0	0.05	1.0	4.7238139524124985E-6
thresh_600.0_cost_2355	2300.0	0.05	1.0	4.7477187183309415E-6
thresh_600.0_cost_2355	2400.0	0.05	1.0	4.770273955594272E-6
thresh_600.0_cost_2355	2500.0	0.05	1.0	4.791589961444002E-6
thresh_600.0_cost_2355	2600.0	0.05	1.0	4.811765439834268E-6
thresh_600.0_cost_2355	2700.0	0.05	1.0	4.830888969060546E-6
thresh_600.0_cost_2355	2800.0	0.05	1.0	4.849040254906021E-6
thresh_600.0_cost_2355	2900.0	0.05	1.0	4.866291204411833E-6
thresh_600.0_cost_2355	3000.0	0.05	1.0	4.882706849090241E-6
thresh_600.0_cost_2355	3100.0	0.05	1.0	4.898346141321705E-6
thresh_600.0_cost_2355	3200.0	0.05	1.0	4.9132626435609155E-6
thresh_600.0_cost_2355	3300.0	0.05	1.0	4.92750512663172E-6
thresh_600.0_cost_2355	3400.0	0.05	1.0	4.941118090661896E-6
thresh_600.0_cost_2355	3500.0	0.05	1.0	4.9541422199761424E-6
thresh_600.0_cost_2355	3600.0	0.05	1.0	4.966614781431996E-6
thresh_600.0_cost_2355	3700.0	0.05	1.0	4.978569974173751E-6
thresh_600.0_cost_2355	3800.0	0.05	1.0	4.990039237530834E-6
thresh_600.0_cost_2355	3900.0	0.05	1.0	5.001051522752348E-6
thresh_600.0_cost_2355	4000.0	0.05	1.0	5.011633533408525E-6
