Graph	d	p	beta	PC
thresh_600.0_cost_2355	400.0	0.05	1.0	5.528417572331949E-6
thresh_600.0_cost_2355	500.0	0.05	1.0	5.864922729203803E-6
thresh_600.0_cost_2355	600.0	0.05	1.0	6.199577210047168E-6
thresh_600.0_cost_2355	700.0	0.05	1.0	6.532137820044339E-6
thresh_600.0_cost_2355	800.0	0.05	1.0	6.861991591730134E-6
thresh_600.0_cost_2355	900.0	0.05	1.0	7.188584096856939E-6
thresh_600.0_cost_2355	1000.0	0.05	1.0	7.5114940738278536E-6
thresh_600.0_cost_2355	1100.0	0.05	1.0	7.830421397437508E-6
thresh_600.0_cost_2355	1200.0	0.05	1.0	8.14516044382764E-6
thresh_600.0_cost_2355	1300.0	0.05	1.0	8.455576142195334E-6
thresh_600.0_cost_2355	1400.0	0.05	1.0	8.761585400963788E-6
thresh_600.0_cost_2355	1500.0	0.05	1.0	9.063143237122624E-6
thresh_600.0_cost_2355	1600.0	0.05	1.0	9.360232500954358E-6
thresh_600.0_cost_2355	1700.0	0.05	1.0	9.652856275568043E-6
thresh_600.0_cost_2355	1800.0	0.05	1.0	9.941032268921898E-6
thresh_600.0_cost_2355	1900.0	0.05	1.0	1.0224788698213685E-5
thresh_600.0_cost_2355	2000.0	0.05	1.0	1.0504161294164172E-5
thresh_600.0_cost_2355	2100.0	0.05	1.0	1.0779191143033296E-5
thresh_600.0_cost_2355	2200.0	0.05	1.0	1.1049923150573895E-5
thresh_600.0_cost_2355	2300.0	0.05	1.0	1.131640496264248E-5
thresh_600.0_cost_2355	2400.0	0.05	1.0	1.1578686216485033E-5
thresh_600.0_cost_2355	2500.0	0.05	1.0	1.1836818027535268E-5
thresh_600.0_cost_2355	2600.0	0.05	1.0	1.209085264069518E-5
thresh_600.0_cost_2355	2700.0	0.05	1.0	1.23408431938264E-5
thresh_600.0_cost_2355	2800.0	0.05	1.0	1.258684355560086E-5
thresh_600.0_cost_2355	2900.0	0.05	1.0	1.2828908210813357E-5
thresh_600.0_cost_2355	3000.0	0.05	1.0	1.3067092174462502E-5
thresh_600.0_cost_2355	3100.0	0.05	1.0	1.3301450921962696E-5
thresh_600.0_cost_2355	3200.0	0.05	1.0	1.3532040327249896E-5
thresh_600.0_cost_2355	3300.0	0.05	1.0	1.375891660368312E-5
thresh_600.0_cost_2355	3400.0	0.05	1.0	1.3982136244835788E-5
thresh_600.0_cost_2355	3500.0	0.05	1.0	1.4201755963764533E-5
thresh_600.0_cost_2355	3600.0	0.05	1.0	1.4417832630321926E-5
thresh_600.0_cost_2355	3700.0	0.05	1.0	1.4630423206694963E-5
thresh_600.0_cost_2355	3800.0	0.05	1.0	1.4839584681705632E-5
thresh_600.0_cost_2355	3900.0	0.05	1.0	1.5045374004585657E-5
thresh_600.0_cost_2355	4000.0	0.05	1.0	1.5247848018996524E-5
